Brand,Topic Title (Thai | EN),Content Type,Primary Keyword,Long-tail Keywords,Search Intent,Buyer Persona,Category,Seasonality,Demand Signal,Thai Keyword,AEO Value,Priority Score,Priority,Production Status,Article File,Notes
wine-now,ไวน์บาร์กรุงเทพ: 10 ที่ซ่อนเร้นที่ไม่มีใครพูดถึง | Bangkok's Hidden Wine Bars: The Top 10 Spots No One Talks About,Pillar,wine bars Bangkok,"Bangkok wine bars, wine bars Thailand, Bangkok wine tasting, wine lounge Bangkok",Commercial,Enthusiast,Travel & Experiences,Evergreen,High,ไวน์บาร์กรุงเทพ,High,95,P1,Published,pipeline/public/content/wine-now-bangkok-wine-bars.html,Travel guide
liq9,"Bourbon แนะนำ: เข้าใจกฎ 51% corn เลือกตามงบ และทำ Old Fashioned | Bourbon Recommendations: The 51% Rule, Budget Picks & Old Fashioned",Spotlight,bourbon recommendations,"best bourbon thailand, bourbon by budget, bourbon old fashioned, what is bourbon, bourbon buying guide",Commercial,Enthusiast,Spotlights,Evergreen,High,เบอร์เบินแนะนำ,High,85,P1,Published,pipeline/public/content/liq9-day7-bourbon-recommend.html,Commercial recommendation angle (informational 'American Bourbon' education row stays backlog). [Added: published article had no matching topic row].
liq9,"Buy Gin Online Thailand: คู่มือสไตล์จิน เลือกตาม botanical และสูตร G&T | Buy Gin Online Thailand: Styles, Botanicals & G&T",Blog,buy gin online thailand,"buy gin online thailand, gin delivery bangkok, best gin thailand, gin and tonic guide, gin styles",Transactional,Casual Drinker,Tips & Guides,Evergreen,High,ซื้อจินออนไลน์,High,85,P1,Published,pipeline/public/content/liq9-day5-buy-gin-online.html,Commercial buy-online angle (informational 'Gin 101' pillar still a backlog gap). [Added: published article had no matching topic row].
liq9,Yamazaki Distillery: Japan's Icon | โรงกลั่นยามาซากิ,Spotlight,yamazaki whisky distillery,yamazaki 18 25 review japan,Commercial,Enthusiast,Spotlights,Seasonal,High,ยามาซากิ,High,85,P1,Published,pipeline/public/content/liq9-yamazaki-distillery.html,Japanese whisky benchmark AEO note: Japan's most famous whisky
liq9,คอกเทล 101: การแนะนำสำหรับผู้เริ่มต้น | Cocktail 101: Mixing Basics,Pillar,cocktail mixing guide recipes,cocktail techniques bartender home,Informational,Casual Drinker,Cocktails & Mixing,Evergreen,High,คอกเทล วิธีทำ,High,85,P1,Published,pipeline/public/content/liq9-cocktail-101.html,Foundational cocktail education AEO note: Very common AI cocktail questions
liq9,จิน 101: ผู้เริ่มต้นคู่มือ | Gin 101: The Beginner's Guide,Pillar,gin beginner guide,gin botanicals distillation types tasting,Informational,Casual Drinker,Education,Evergreen,High,จิน คืออะไร,High,85,P1,Published,pipeline/public/content/liq9-gin-101.html,Foundational gin education pillar AEO note: AI searches for gin basics very common
liq9,รัม 101: ที่มาจากการผลิต | Rum 101: Origins to Tasting,Pillar,rum beginner guide,rum types agriculture distillation regions,Informational,Casual Drinker,Education,Evergreen,High,รัม คืออะไร,High,85,P1,Not started,,Comprehensive rum education pillar AEO note: Foundational rum search queries
liq9,วิสกี้ 101: คู่มือสำหรับผู้เริ่มต้น | Whisky 101: The Complete Beginner's Guide,Pillar,whisky beginner guide,whisky basics types origins tasting,Informational,Casual Drinker,Education,Evergreen,High,วิสกี้คืออะไร,High,85,P1,Published,pipeline/public/content/liq9-day1-whisky-101.html,Foundational pillar covering distillation regions aging proof tasting notes AEO note: AI search for 'what is whisky' trending in Thailand Article framed as Scotch vs Bourbon vs Japanese.
liq9,เทกีล่า 101: ท้องถิ่นและประกอบอาหาร | Tequila 101: Agave to Glass,Pillar,tequila beginner guide,tequila types regions blue agave,Informational,Casual Drinker,Education,Evergreen,High,เทกีล่า คืออะไร,High,85,P1,Not started,,Foundational tequila education AEO note: AI searches for tequila facts increasing
wine-now,"Cabernet Sauvignon 101: รสชาติ แหล่งผลิต และขวดที่ดีที่สุดในแต่ละงบ | Cabernet Sauvignon 101: Taste, Regions & Best Bottles by Budget",Spotlight,cabernet sauvignon,"cabernet sauvignon 101, cabernet taste, best cabernet thailand, cabernet food pairing, full bodied red wine",Commercial,Explorer,Spotlights,Evergreen,High,กาแบร์เน ซ6วีญง,High,85,P1,Published,pipeline/public/content/day7-cabernet-sauvignon-101.html,Single-varietal 101 spotlight (varietal-101 gap). [Added: published article had no matching topic row].
wine-now,"Pinot Noir 101: ไวน์แดงเบาที่ใครๆ ก็รัก (รสชาติ–แหล่ง–คู่อาหาร) | Pinot Noir 101: Taste, Regions & Pairings",Spotlight,pinot noir,"pinot noir 101, pinot noir taste, pinot noir food pairing, best pinot noir thailand, light red wine",Commercial,Explorer,Spotlights,Evergreen,High,ปิโนต์ นัวร์,High,85,P1,Published,pipeline/public/content/day5-pinot-noir-101.html,Single-varietal 101 spotlight (reveals a varietal-101 gap in the library). [Added: published article had no matching topic row].
wine-now,ซื้อไวน์ออนไลน์ในไทย: เช็กลิสต์ที่ต้องรู้ก่อนกด Order | Buying Wine Online in Thailand: The Checklist You Need,Blog,buy wine online Thailand,"online wine shopping, wine delivery Thailand, buy wine Bangkok, Thai wine shopping",Transactional,Explorer,Tips & Guides,Evergreen,High,ซื้อไวน์ออนไลน์,High,85,P1,Not started,,Shopping guide
wine-now,ภูมิศาสตร์ไวน์โลก: บอร์โดซ์ เบอร์กันดี และแหล่งผลิตที่คุณต้องรู้จัก | Wine Geography: Bordeaux Burgundy and Beyond,Pillar,wine regions,"wine regions, wine geography, wine terroir, French wine regions, wine classification by region",Informational,Enthusiast,Education,Evergreen,High,ภูมิศาสตร์ไวน์,High,85,P1,Not started,,Regional education
wine-now,แหล่งผลิตไวน์ที่ดีที่สุดในโลก: ทัวร์จากฝรั่งเศสถึงนิวซีแลนด์ | The World's Best Wine Regions: A Global Tour,Pillar,best wine regions in the world,"wine regions, world wine regions, wine countries, wine tourism, wine geography",Informational,Enthusiast,Travel & Experiences,Evergreen,High,ภูมิศาสตร์ไวน์,High,85,P1,Not started,,Travel-focused
wine-now,ไวน์ 101: คู่มือฉบับสมบูรณ์สำหรับผู้เริ่มต้นเลือกและดื่มไวน์ | Wine 101: Your Ultimate Wine Buying Guide,Pillar,wine buying guide for beginners,"how to choose wine, wine selection guide, beginner wine tips, wine for first-timers, wine basics",Informational,Explorer,Education,Evergreen,High,คำแนะนำการซื้อไวน์,High,85,P1,Not started,,Foundational pillar content
wine-now,ไวน์แพงที่สุดในโลก 2026: 20 อันดับ และขวดที่ดื่มแล้วใกล้เคียงในงบจริง | The World's Most Expensive Wines 2026 (+ Affordable Dupes),Spotlight,most expensive wine,"most expensive wines 2026, expensive wine ranking, affordable wine alternatives, luxury wine dupes",Commercial,Collector,Spotlights,Evergreen,High,ไวน์แพงที่สุดในโลก,High,85,P1,Published,pipeline/public/content/day1-most-expensive-wines-2026.html,Listicle + affordable-dupe angle drives both authority and conversion. [Added: published article had no matching topic row].
wine-now,Wine Tourism เขาใหญ่: สิ่งที่นักท่องเที่ยวส่วนใหญ่ยังไม่รู้ | Thai Wine Tourism: What Most Visitors to Khao Yai Still Miss,Blog,wine tourism Thailand,"wine tourism Thailand, Thai wine regions, wine tasting tours Thailand, Khao Yai wine",Commercial,Explorer,Travel & Experiences,Seasonal,High,ทัศนศึกษาไวน์,High,80,P1,Published,pipeline/public/content/day6-wine-tourism-khao-yai.html,Travel-focused Season: Holidays.
wine-now,ของขวัญไวน์: วิธีเลือกให้โดนใจคนรักไวน์ทุกระดับ | Wine Gifting: เพื่อให้ของขวัญสำหรับ Wine Lovers,Blog,wine gift,"wine gift ideas, wine gift set, gift wine, wine gift guide",Commercial,Explorer,Tips & Guides,Seasonal,High,เลือกของขวัญไวน์,High,80,P1,Not started,,Holiday guide Season: Holidays.
wine-now,ทำไมไวน์/เหล้าขึ้นราคาปี 2026: เข้าใจภาษีสรรพสามิตใหม่ และขวดที่ยังคุ้ม | Why Wine & Spirits Got Pricier in 2026: The New Excise Tax,Blog,wine excise tax thailand 2026,"thailand wine tax 2026, liquor excise tax, why wine expensive thailand, alcohol tax thailand",Commercial,Enthusiast,Education,Seasonal,High,ภาษีไวน์ 2026,High,80,P1,Published,pipeline/public/content/day4-wine-excise-tax-2026.html,"Season: 2026 news. Cross-brand (also relevant to LIQ9 regulations row). Thai-specific, highly citable. [Added: published article had no matching topic row]."
wine-now,ท่องเที่ยวไวน์ในไทย: จุดซ่อนเร้นนอกกรุงเทพ | Wine Tourism in Thailand: Hidden Gems Beyond Bangkok,Blog,wine travel Thailand,"wine tour Thailand, wine tasting tour, wine region tour, vineyard tour Thailand",Commercial,Enthusiast,Travel & Experiences,Seasonal,High,ทัศนศึกษาไวน์,High,80,P1,Not started,,Travel content Season: Nov-Feb.
wine-now,หมูกระทะ x ไวน์: 6 ขวดที่เข้ากันสุดๆ สำหรับงานปาร์ตี้ฤดูร้อน | Moo Kata x Wine: 6 Bottles That Match This Summer BBQ,Blog,wine pairing BBQ,"wine pairing BBQ, Korean BBQ wine, meat pairing wine, grilled meat wine",Commercial,Enthusiast,Pairing & Serving,Seasonal,High,ผสมไวน์กับ BBQ,High,80,P1,Not started,,Lifestyle content Season: Summer.
wine-now,อาหารทะเลกรุงเทพ x ไวน์: คู่ที่ใช้ได้จริงสำหรับซีฟู้ดสไตล์ไทย | Bangkok Seafood x Wine: Practical Pairings for Thai Coastal Flavors,Blog,wine pairing seafood,"wine seafood pairing, white wine seafood, Thai seafood wine, coastal cuisine wine",Commercial,Enthusiast,Pairing & Serving,Seasonal,High,ผสมไวน์กับอาหารทะเล,High,80,P1,Not started,,Lifestyle content Season: Summer.
wine-now,แบรนด์ Champagne ที่ต้องรู้จักก่อนจะเฉลิมฉลอง | Champagne Producers You Should Know Before You Celebrate,Blog,champagne brands,"Dom Pérignon, Veuve Clicquot, Moët & Chandon, champagne brands, luxury champagne",Commercial,Enthusiast,Spotlights,Seasonal,High,แบรนด์แชมเปญ,High,80,P1,Not started,,Brand spotlight Season: Holidays.
wine-now,"ไวน์ขาวสำหรับงานเลี้ยงฤดูร้อน: เลือกสไตล์ไหน เสิร์ฟกี่องศา จัดปาร์ตี้ยังไง | White Wines for a Summer Party: Styles, Temps & Hosting",Blog,white wine for summer,"white wine summer party, best white wine hot weather, serving temperature white wine, summer wine Thailand",Commercial,Explorer,Pairing & Serving,Seasonal,High,ไวน์ขาวหน้าร้อน,High,80,P1,Published,pipeline/public/content/day3-white-wines-summer.html,Season: Summer. Strong Thai hot-climate hook. [Added: published article had no matching topic row].
wine-now,ไวน์คู่อาหารไทย: 5 คู่ที่ลงตัวจนคุณต้องลอง | Thai Street Food x Wine: 5 Pairings That Work,Blog,wine food pairing Thai,"wine pairing Thai food, wine and Thai cuisine, Pad Thai wine pairing, Thai food wine selection",Commercial,Enthusiast,Pairing & Serving,Seasonal,High,การผสมไวน์กับอาหารไทย,High,80,P1,Not started,,Lifestyle content Season: Summer.
wine-now,"ไวน์ราคาไม่เกิน 1,000 บาท: Premium ไม่ได้แปลว่าแพงเสมอไป | ไวน์ Recommendation Under 1000 Baht: Premium Doesn't Mean Expensive",Blog,mid-range wine,"wine 500-1000 baht, quality affordable wine, mid-range wine Thailand",Commercial,Enthusiast,Tips & Guides,Evergreen,High,ไวน์กลางราคา,High,80,P1,Not started,,Shopping guide
wine-now,ไวน์ราคาไม่เกิน 500 บาท: คุณภาพดีในงบที่จับต้องได้ | Wine Recommendations Under 500 Baht: Quality on a Budget,Blog,affordable wine,"cheap wine, budget wine, wine under 500 baht, affordable quality wine",Commercial,Explorer,Tips & Guides,Evergreen,High,ไวน์ราคาถูกคุณภาพดี,High,80,P1,Not started,,Budget guide
