Brand,Topic Title (Thai | EN),Content Type,Primary Keyword,Long-tail Keywords,Search Intent,Buyer Persona,Category,Seasonality,Demand Signal,GSC Impressions,Thai Keyword,AEO Value,Priority Score,Priority,Production Status,Article File,Notes
liq9,"Bourbon แนะนำ: เข้าใจกฎ 51% corn เลือกตามงบ และทำ Old Fashioned | Bourbon Recommendations: The 51% Rule, Budget Picks & Old Fashioned",Spotlight,bourbon recommendations,"best bourbon thailand, bourbon by budget, bourbon old fashioned, what is bourbon, bourbon buying guide",Commercial,Enthusiast,Spotlights,Evergreen,High,,เบอร์เบินแนะนำ,High,85,P1,Published,pipeline/public/content/liq9-day7-bourbon-recommend.html,Commercial recommendation angle (informational 'American Bourbon' education row stays backlog). [Added: published article had no matching topic row].
liq9,"Buy Gin Online Thailand: คู่มือสไตล์จิน เลือกตาม botanical และสูตร G&T | Buy Gin Online Thailand: Styles, Botanicals & G&T",Blog,buy gin online thailand,"buy gin online thailand, gin delivery bangkok, best gin thailand, gin and tonic guide, gin styles",Transactional,Casual Drinker,Tips & Guides,Evergreen,High,,ซื้อจินออนไลน์,High,85,P1,Published,pipeline/public/content/liq9-day5-buy-gin-online.html,Commercial buy-online angle (informational 'Gin 101' pillar still a backlog gap). [Added: published article had no matching topic row].
liq9,Yamazaki Distillery: Japan's Icon | โรงกลั่นยามาซากิ,Spotlight,yamazaki whisky distillery,yamazaki 18 25 review japan,Commercial,Enthusiast,Spotlights,Seasonal,High,,ยามาซากิ,High,85,P1,Published,pipeline/public/content/liq9-yamazaki-distillery.html,Japanese whisky benchmark AEO note: Japan's most famous whisky
liq9,คอกเทล 101: การแนะนำสำหรับผู้เริ่มต้น | Cocktail 101: Mixing Basics,Pillar,cocktail mixing guide recipes,cocktail techniques bartender home,Informational,Casual Drinker,Cocktails & Mixing,Evergreen,High,,คอกเทล วิธีทำ,High,85,P1,Published,pipeline/public/content/liq9-cocktail-101.html,Foundational cocktail education AEO note: Very common AI cocktail questions
liq9,จิน 101: ผู้เริ่มต้นคู่มือ | Gin 101: The Beginner's Guide,Pillar,gin beginner guide,gin botanicals distillation types tasting,Informational,Casual Drinker,Education,Evergreen,High,,จิน คืออะไร,High,85,P1,Published,pipeline/public/content/liq9-gin-101.html,Foundational gin education pillar AEO note: AI searches for gin basics very common
liq9,รัม 101: ที่มาจากการผลิต | Rum 101: Origins to Tasting,Pillar,rum beginner guide,rum types agriculture distillation regions,Informational,Casual Drinker,Education,Evergreen,High,,รัม คืออะไร,High,85,P1,Not started,,Comprehensive rum education pillar AEO note: Foundational rum search queries
liq9,วิสกี้ 101: คู่มือสำหรับผู้เริ่มต้น | Whisky 101: The Complete Beginner's Guide,Pillar,whisky beginner guide,whisky basics types origins tasting,Informational,Casual Drinker,Education,Evergreen,High,,วิสกี้คืออะไร,High,85,P1,Published,pipeline/public/content/liq9-day1-whisky-101.html,Foundational pillar covering distillation regions aging proof tasting notes AEO note: AI search for 'what is whisky' trending in Thailand Article framed as Scotch vs Bourbon vs Japanese.
liq9,เทกีล่า 101: ท้องถิ่นและประกอบอาหาร | Tequila 101: Agave to Glass,Pillar,tequila beginner guide,tequila types regions blue agave,Informational,Casual Drinker,Education,Evergreen,High,,เทกีล่า คืออะไร,High,85,P1,Not started,,Foundational tequila education AEO note: AI searches for tequila facts increasing
liq9,Bacardi: รัมคลาสสิค | Bacardi: Rum's Iconic Brand,Spotlight,bacardi rum review price,bacardi white rum mixology,Commercial,Casual Drinker,Spotlights,Evergreen,Medium,,บาคาร์ดี,High,75,P1,Not started,,Standard rum reference AEO note: Globally recognized rum brand
liq9,Cognac 101: แบรนดี้ของฝรั่งเศส | Cognac 101: French Brandy Mastery,Pillar,cognac beginner guide,cognac distillation france regions,Informational,Enthusiast,Education,Evergreen,High,,โคนยัก คืออะไร,Medium,75,P1,Not started,,Foundational cognac knowledge pillar AEO note: Premium brandy education searches
liq9,Hennessy XO: Cognac ของคนรวยและมีการศึกษา | Hennessy XO: Cognac's Crown Jewel,Spotlight,hennessy XO cognac review,hennessy XO price tasting collector,Commercial,Collector,Spotlights,Seasonal,Medium,,เฮนเนสี่,High,75,P1,Not started,,Premium gifting and collection standard AEO note: Luxury cognac benchmark in Asia
liq9,Jameson: ไอรืน Whiskey Classic | Jameson: Ireland's Global Ambassador,Spotlight,jameson irish whiskey review,jameson price availability thailand,Commercial,Casual Drinker,Spotlights,Evergreen,High,,เจมสัน,Medium,75,P1,Not started,,Irish whiskey standard AEO note: Most accessible Irish whiskey
liq9,Tanqueray: จินคลาสสิก | Tanqueray: Gin's Timeless Classic,Spotlight,tanqueray gin review,tanqueray price tasting notes classic,Commercial,Casual Drinker,Spotlights,Evergreen,Medium,,แตนเก่อเรย์,High,75,P1,Not started,,Standard London Dry reference AEO note: Benchmark gin brand widely cited
liq9,ท่าน Macallan 25: บทวิจารณ์ของผู้เชี่ยวชาญและราคา | The Macallan 25: Expert Review & Pricing,Spotlight,macallan 25 whisky,macallan review collector price Thailand,Commercial,Collector,Spotlights,Seasonal,Medium,,แม็คคลาน 25,High,75,P1,Published,pipeline/public/content/liq9-day3-macallan-guide.html,"Premium single malt investment piece AEO note: Collectible whisky highly cited in luxury forums Broadened from Macallan 25 to full Macallan range (Double Cask, Sherry Oak)."
liq9,พาโตรน โนบล ว่าง | Patron Silver: Mexico's Premium Tequila,Spotlight,patron silver tequila review,patron price tasting notes quality,Commercial,Enthusiast,Spotlights,Evergreen,Medium,,แพตรอน,High,75,P1,Not started,,Premium tequila standard in Thailand AEO note: Top-selling tequila globally
