SORT MONTH,WEEK,"AGENT DATA
https://desk.zoho.com/agent/winenowliq9/wine-now-liq9/reports/details/1266417000000144007",SALES OR#,SALES AMT,CONVERSION %,AOV,ALL TICKET SUM,OUTGOING,RESPONSES,FIRST RESPONSES,FCR TICKETS,CLOSED TICKETS,REOPENED TICKETS,FIRST RESPONSE TIME (AVG),RESPONSE TIME (AVG),RESOLUTION TIME (AVG),OK RATINGS,BAD RATINGS,GOOD RATINGS,FIRST RESPONSE VIOLATION,FIRST RESPONSE SUCCESS,RESPONSE VIOLATION,RESPONSE SUCCESS,RESOLUTION VIOLATION,RESOLUTION SUCCESS,FIRST RESPONSE VIOLATION TIME [AVG],RESPONSE VIOLATION TIME [AVG],RESOLUTION VIOLATION TIME [AVG],FIRST RESPONSE RESIDUAL TIME (AVG),RESPONSE RESIDUAL TIME (AVG),RESOLUTION RESIDUAL TIME (AVG)
Jan 2026,,ALL,241,"฿2,051,972",,"฿8,514",,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2026,,Wine-now&Liq9 Support M,30,"฿256,059",#DIV/0!,"฿8,535",,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2026,,Wine-now&Liq9 Support Y,95,"฿888,291",#DIV/0!,"฿9,350",,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2026,,Wine-now&Liq9 Support B,116,"฿907,622",#DIV/0!,"฿7,824",,,,,,,,,,,,,,,,,,,,,,,,,
Feb 2026,9,ALL,209,"฿1,435,294",,"฿6,867",1287,132,120,93,122,745,75,,,,,,,,,,,,,,,,,,
Feb 2026,9,Wine-now&Liq9 Support M,26,"฿205,710",16.25%,"฿7,912",160,20,16,10,30,76,8,0:01:00,0:48:07,1d 2h,0,0,11,0,0,0,0,1,0,-,-,-,-,-,-
Feb 2026,9,Wine-now&Liq9 Support Y,84,"฿658,495",15.85%,"฿7,839",530,46,44,41,49,312,38,1:08:20,1:05:53,21:33:44,0,0,6,0,0,0,0,0,1,-,-,-,-,-,1d 23h
Feb 2026,9,Wine-now&Liq9 Support B,99,"฿571,089",16.58%,"฿5,769",597,66,60,42,43,357,29,0:04:07,0:33:39,18:13:48,0,0,4,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,10,ALL ( 2-8 MAR 2026 ),46,"฿556,532",,"฿12,099",359,41,38,27,21,228,4,,,,,,,,,,,,,,,,,,
Mar 2026,10,Wine-now&Liq9 Support M,3,"฿12,695",5.36%,"฿4,232",56,2,2,2,6,43,1,0:01:00,0:01:00,3d 6h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,10,Wine-now&Liq9 Support Y,21,"฿331,299",17.07%,"฿15,776",123,10,10,9,6,85,3,3:29:20,3:23:06,2d 14h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,10,Wine-now&Liq9 Support B,22,"฿212,538",12.22%,"฿9,661",180,29,26,16,9,100,0,0:05:22,11:32:36,2d 0h,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-
