Page Name,Chapter,Image
rare-whisky-premium-gift-macallan-johnnie-walker-blue,Ch1 Gift,https://images.unsplash.com/photo-1569529465841-dfecdab7503b?w=1200&q=85&auto=format&fit=crop
cognac-xo-gift-hennessy-martell-remy-martin-premium,Ch1 Gift,https://images.unsplash.com/photo-1585553616435-2dc0a54e271d?w=1200&q=85&auto=format&fit=crop
art-bottles-limited-edition-special-pack-design,Ch1 Gift,https://images.unsplash.com/photo-1609951651556-5334e2706168?w=1200&q=85&auto=format&fit=crop
spirits-gift-under-1000-baht-smart-affordable,Ch1 Gift,https://images.unsplash.com/photo-1527281400683-1aae777175f8?w=1200&q=85&auto=format&fit=crop
blended-scotch-whisky-classics-johnnie-walker-chivas,Ch2 Whisky,https://images.unsplash.com/photo-1614313913007-2b4ae8ce32d6?w=1200&q=85&auto=format&fit=crop
speyside-single-malt-scotch-glenfarclas-balvenie,Ch2 Whisky,https://images.unsplash.com/photo-1572116469696-31de0f17cc34?w=1200&q=85&auto=format&fit=crop
islay-single-malt-peated-smoky-ardbeg-lagavulin,Ch2 Whisky,https://images.unsplash.com/photo-1595981234058-a9302fb97229?w=1200&q=85&auto=format&fit=crop
japanese-whisky-suntory-yamazaki-hakushu-hibiki,Ch2 Whisky,https://images.unsplash.com/photo-1569529465841-dfecdab7503b?w=1200&q=85&auto=format&fit=crop
bourbon-rye-american-whiskey-buffalo-trace-woodford,Ch2 Whisky,https://images.unsplash.com/photo-1619451334792-150fd785ee74?w=1200&q=85&auto=format&fit=crop
hennessy-cognac-vs-vsop-xo-paradis-full-range,Ch3 Cognac,https://images.unsplash.com/photo-1585553616435-2dc0a54e271d?w=1200&q=85&auto=format&fit=crop
martell-remy-martin-xo-cognac-club-premium,Ch3 Cognac,https://images.unsplash.com/photo-1570197571499-166b36435e9f?w=1200&q=85&auto=format&fit=crop
cognac-vs-vsop-everyday-cocktail-mixing-accessible,Ch3 Cognac,https://images.unsplash.com/photo-1574015974293-817f0ebebb74?w=1200&q=85&auto=format&fit=crop
armagnac-french-brandy-connoisseur-single-distilled,Ch3 Cognac,https://images.unsplash.com/photo-1578911373434-0cb395d2cbfb?w=1200&q=85&auto=format&fit=crop
tequila-mezcal-mexico-patron-don-julio-agave,Ch4 Something New,https://images.unsplash.com/photo-1516594798947-e65505dbb29d?w=1200&q=85&auto=format&fit=crop
craft-gin-botanicals-hendricks-monkey-47-roku,Ch4 Something New,https://images.unsplash.com/photo-1550985543-49bee3167284?w=1200&q=85&auto=format&fit=crop
premium-rum-ron-zacapa-diplomatico-caribbean,Ch4 Something New,https://images.unsplash.com/photo-1514218953589-2d7d37efd2dc?w=1200&q=85&auto=format&fit=crop
sake-japan-bijofu-dewazakura-traditional-brewing,Ch4 Something New,https://images.unsplash.com/photo-1553361371-9b22f78e8b1d?w=1200&q=85&auto=format&fit=crop
aperitivo-amaro-campari-aperol-negroni-italian,Ch4 Something New,https://images.unsplash.com/photo-1551024709-8f23befc6f87?w=1200&q=85&auto=format&fit=crop
umeshu-asian-sweet-spirits-choya-plum-wine-soju,Ch4 Something New,https://images.unsplash.com/photo-1528823872057-9c018a7a7553?w=1200&q=85&auto=format&fit=crop
thai-craft-spirits-prakaan-asura-kristall-gin,Ch5 Thailand,https://images.unsplash.com/photo-1558642452-9d2a7deb7f62?w=1200&q=85&auto=format&fit=crop
