Page Name,Chapter,Image
bordeaux-1855-classification-medoc-chateau-vineyard,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1586370434639-0fe43b2d32e6?w=1200&q=85&auto=format&fit=crop
saint-emilion-pomerol-right-bank-bordeaux-merlot,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1504279577054-acfeccf8fc52?w=1200&q=85&auto=format&fit=crop
burgundy-grand-cru-cote-dor-pinot-noir-vineyard,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1474722883778-792e7990302f?w=1200&q=85&auto=format&fit=crop
burgundy-premier-cru-puligny-montrachet-chardonnay,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1563514227147-6d2ff665a6a0?w=1200&q=85&auto=format&fit=crop
rhone-valley-hermitage-chateauneuf-du-pape-syrah,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1570498839593-e565b39455fc?w=1200&q=85&auto=format&fit=crop
chianti-classico-docg-tuscany-sangiovese-black-rooster,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1523475496153-3d6cc0f0bf19?w=1200&q=85&auto=format&fit=crop
barolo-barbaresco-docg-piedmont-nebbiolo-langhe,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1516594915697-87eb3b1c14ea?w=1200&q=85&auto=format&fit=crop
super-tuscan-igt-toscana-sassicaia-ornellaia-bolgheri,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=1200&q=85&auto=format&fit=crop
rioja-doca-spain-tempranillo-reserva-gran-reserva,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1532635239-06e08db8f247?w=1200&q=85&auto=format&fit=crop
amarone-della-valpolicella-docg-appassimento-corvina,Ch1 Classified Fine Wine,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=1200&q=85&auto=format&fit=crop
cabernet-sauvignon-full-bodied-red-wine-napa-bordeaux,Ch2 By Style,https://images.unsplash.com/photo-1506377247377-2a5b3b417ebb?w=1200&q=85&auto=format&fit=crop
pinot-noir-light-red-wine-burgundy-silk-precision,Ch2 By Style,https://images.unsplash.com/photo-1507434965515-61970f2bd7c6?w=1200&q=85&auto=format&fit=crop
shiraz-syrah-full-bodied-red-barossa-rhone-peppery,Ch2 By Style,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=1200&q=85&auto=format&fit=crop&crop=top
malbec-argentina-mendoza-high-altitude-velvet-plum,Ch2 By Style,https://images.unsplash.com/photo-1567529692333-de9fd6772897?w=1200&q=85&auto=format&fit=crop
chardonnay-white-wine-oaked-unoaked-buttery-complex,Ch2 By Style,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=1200&q=85&auto=format&fit=crop
sauvignon-blanc-crisp-white-wine-marlborough-citrus,Ch2 By Style,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=1200&q=85&auto=format&fit=crop
riesling-aromatic-white-wine-mosel-alsace-floral,Ch2 By Style,https://images.unsplash.com/photo-1516594798947-e65505dbb29d?w=1200&q=85&auto=format&fit=crop
provence-rose-wine-pale-dry-crisp-whispering-angel,Ch2 By Style,https://images.unsplash.com/photo-1560148218-1a83060f7b32?w=1200&q=85&auto=format&fit=crop
gsm-meritage-red-white-wine-blend-grenache-syrah,Ch2 By Style,https://images.unsplash.com/photo-1553361371-9b22f78e8b1d?w=1200&q=85&auto=format&fit=crop
champagne-non-vintage-nv-moet-veuve-clicquot-france,Ch3 Sparkling,https://images.unsplash.com/photo-1556035511-3168381ea4d4?w=1200&q=85&auto=format&fit=crop
prestige-cuvee-champagne-dom-perignon-krug-cristal,Ch3 Sparkling,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=1200&q=85&auto=format&fit=crop
rose-champagne-sparkling-pink-laurent-perrier-gift,Ch3 Sparkling,https://images.unsplash.com/photo-1558001373-7b93ee48ffa0?w=1200&q=85&auto=format&fit=crop
prosecco-docg-franciacorta-italian-sparkling-glera,Ch3 Sparkling,https://images.unsplash.com/photo-1574482620811-1aa16ffe3c82?w=1200&q=85&auto=format&fit=crop
cava-spain-traditional-method-sparkling-penedes,Ch3 Sparkling,https://images.unsplash.com/photo-1584916201218-f4242ceb4809?w=1200&q=85&auto=format&fit=crop
cremant-sekt-everyday-sparkling-alsace-bourgogne,Ch3 Sparkling,https://images.unsplash.com/photo-1513618827672-0d7c5ad591b1?w=1200&q=85&auto=format&fit=crop
sauternes-late-harvest-sweet-wine-noble-rot-botrytis,Ch4 Dessert,https://images.unsplash.com/photo-1474722883778-792e7990302f?w=1200&q=85&auto=format&fit=crop&crop=bottom
