keyword,brand,impressions,clicks,ctr,position,search_intent
best rose wines,wine-now,3250,245,7.5,3.2,informational
how to age wine,wine-now,2890,180,6.2,4.1,how-to
wine pairing guide,wine-now,2560,210,8.2,2.8,informational
natural wine,wine-now,2340,185,7.9,3.5,informational
champagne tasting,wine-now,1890,165,8.7,2.1,informational
liq9 spirits,liq9,2650,380,14.3,1.2,navigational
gin cocktails,liq9,2120,185,8.7,3.4,how-to
tequila recipes,liq9,1950,210,10.8,2.6,how-to
whiskey tasting notes,liq9,1680,140,8.3,4.2,informational
rum brands,liq9,1450,95,6.6,5.1,informational
vodka selection,liq9,1320,110,8.3,4.8,how-to
wine storage temperature,wine-now,1200,95,7.9,4.3,how-to
sparkling wine regions,wine-now,1100,85,7.7,4.5,informational
beer vs wine health,wine-now,980,95,9.7,3.2,comparison
natural wine guide,wine-now,850,75,8.8,5.2,how-to
gin botanicals,liq9,780,65,8.3,6.1,informational
cocktail recipes easy,liq9,720,85,11.8,4.9,how-to
wine accessories,wine-now,650,50,7.7,6.3,shopping
premium spirits,liq9,580,75,12.9,3.8,shopping
sustainable wine,wine-now,520,45,8.7,5.6,informational
