Brand,Topic Title (Thai | EN),Content Type,Primary Keyword,Long-tail Keywords,Search Intent,Buyer Persona,Category,Seasonality,Demand Signal,GSC Impressions,Thai Keyword,AEO Value,Priority Score,Priority,Production Status,Article File,Notes
wine-now,ไวน์บาร์กรุงเทพ: 10 ที่ซ่อนเร้นที่ไม่มีใครพูดถึง | Bangkok's Hidden Wine Bars: The Top 10 Spots No One Talks About,Pillar,wine bars Bangkok,"Bangkok wine bars, wine bars Thailand, Bangkok wine tasting, wine lounge Bangkok",Commercial,Enthusiast,Travel & Experiences,Evergreen,High,,ไวน์บาร์กรุงเทพ,High,95,P1,Published,pipeline/public/content/wine-now-bangkok-wine-bars.html,Travel guide
wine-now,"Cabernet Sauvignon 101: รสชาติ แหล่งผลิต และขวดที่ดีที่สุดในแต่ละงบ | Cabernet Sauvignon 101: Taste, Regions & Best Bottles by Budget",Spotlight,cabernet sauvignon,"cabernet sauvignon 101, cabernet taste, best cabernet thailand, cabernet food pairing, full bodied red wine",Commercial,Explorer,Spotlights,Evergreen,Medium,484,กาแบร์เน ซ6วีญง,High,75,P1,Published,pipeline/public/content/day7-cabernet-sauvignon-101.html,Single-varietal 101 spotlight (varietal-101 gap). [Added: published article had no matching topic row].
wine-now,"Pinot Noir 101: ไวน์แดงเบาที่ใครๆ ก็รัก (รสชาติ–แหล่ง–คู่อาหาร) | Pinot Noir 101: Taste, Regions & Pairings",Spotlight,pinot noir,"pinot noir 101, pinot noir taste, pinot noir food pairing, best pinot noir thailand, light red wine",Commercial,Explorer,Spotlights,Evergreen,High,,ปิโนต์ นัวร์,High,85,P1,Published,pipeline/public/content/day5-pinot-noir-101.html,Single-varietal 101 spotlight (reveals a varietal-101 gap in the library). [Added: published article had no matching topic row].
wine-now,ซื้อไวน์ออนไลน์ในไทย: เช็กลิสต์ที่ต้องรู้ก่อนกด Order | Buying Wine Online in Thailand: The Checklist You Need,Blog,buy wine online Thailand,"online wine shopping, wine delivery Thailand, buy wine Bangkok, Thai wine shopping",Transactional,Explorer,Tips & Guides,Evergreen,High,,ซื้อไวน์ออนไลน์,High,85,P1,Not started,,Shopping guide
wine-now,ภูมิศาสตร์ไวน์โลก: บอร์โดซ์ เบอร์กันดี และแหล่งผลิตที่คุณต้องรู้จัก | Wine Geography: Bordeaux Burgundy and Beyond,Pillar,wine regions,"wine regions, wine geography, wine terroir, French wine regions, wine classification by region",Informational,Enthusiast,Education,Evergreen,High,,ภูมิศาสตร์ไวน์,High,85,P1,Not started,,Regional education
wine-now,แหล่งผลิตไวน์ที่ดีที่สุดในโลก: ทัวร์จากฝรั่งเศสถึงนิวซีแลนด์ | The World's Best Wine Regions: A Global Tour,Pillar,best wine regions in the world,"wine regions, world wine regions, wine countries, wine tourism, wine geography",Informational,Enthusiast,Travel & Experiences,Evergreen,High,,ภูมิศาสตร์ไวน์,High,85,P1,Not started,,Travel-focused
wine-now,ไวน์แพงที่สุดในโลก 2026: 20 อันดับ และขวดที่ดื่มแล้วใกล้เคียงในงบจริง | The World's Most Expensive Wines 2026 (+ Affordable Dupes),Spotlight,most expensive wine,"most expensive wines 2026, expensive wine ranking, affordable wine alternatives, luxury wine dupes",Commercial,Collector,Spotlights,Evergreen,Medium,715,ไวน์แพงที่สุดในโลก,High,75,P1,Published,pipeline/public/content/day1-most-expensive-wines-2026.html,Listicle + affordable-dupe angle drives both authority and conversion. [Added: published article had no matching topic row].
wine-now,ไวน์ 101: คู่มือฉบับสมบูรณ์สำหรับผู้เริ่มต้นเลือกและดื่มไวน์ | Wine 101: Your Ultimate Wine Buying Guide,Pillar,wine buying guide for beginners,"how to choose wine, wine selection guide, beginner wine tips, wine for first-timers, wine basics",Informational,Explorer,Education,Evergreen,High,,คำแนะนำการซื้อไวน์,High,85,P1,Not started,,Foundational pillar content
wine-now,แบรนด์ Champagne ที่ต้องรู้จักก่อนจะเฉลิมฉลอง | Champagne Producers You Should Know Before You Celebrate,Blog,champagne brands,"Dom Pérignon, Veuve Clicquot, Moët & Chandon, champagne brands, luxury champagne",Commercial,Enthusiast,Spotlights,Seasonal,High,,แบรนด์แชมเปญ,High,80,P1,Not started,,Brand spotlight Season: Holidays.
wine-now,ของขวัญไวน์: วิธีเลือกให้โดนใจคนรักไวน์ทุกระดับ | Wine Gifting: เพื่อให้ของขวัญสำหรับ Wine Lovers,Blog,wine gift,"wine gift ideas, wine gift set, gift wine, wine gift guide",Commercial,Explorer,Tips & Guides,Seasonal,High,,เลือกของขวัญไวน์,High,80,P1,Not started,,Holiday guide Season: Holidays.
wine-now,Wine Tourism เขาใหญ่: สิ่งที่นักท่องเที่ยวส่วนใหญ่ยังไม่รู้ | Thai Wine Tourism: What Most Visitors to Khao Yai Still Miss,Blog,wine tourism Thailand,"wine tourism Thailand, Thai wine regions, wine tasting tours Thailand, Khao Yai wine",Commercial,Explorer,Travel & Experiences,Seasonal,High,,ทัศนศึกษาไวน์,High,80,P1,Published,pipeline/public/content/day6-wine-tourism-khao-yai.html,Travel-focused Season: Holidays.
wine-now,ทำไมไวน์/เหล้าขึ้นราคาปี 2026: เข้าใจภาษีสรรพสามิตใหม่ และขวดที่ยังคุ้ม | Why Wine & Spirits Got Pricier in 2026: The New Excise Tax,Blog,wine excise tax thailand 2026,"thailand wine tax 2026, liquor excise tax, why wine expensive thailand, alcohol tax thailand",Commercial,Enthusiast,Education,Seasonal,High,,ภาษีไวน์ 2026,High,80,P1,Published,pipeline/public/content/day4-wine-excise-tax-2026.html,"Season: 2026 news. Cross-brand (also relevant to LIQ9 regulations row). Thai-specific, highly citable. [Added: published article had no matching topic row]."
wine-now,อาหารทะเลกรุงเทพ x ไวน์: คู่ที่ใช้ได้จริงสำหรับซีฟู้ดสไตล์ไทย | Bangkok Seafood x Wine: Practical Pairings for Thai Coastal Flavors,Blog,wine pairing seafood,"wine seafood pairing, white wine seafood, Thai seafood wine, coastal cuisine wine",Commercial,Enthusiast,Pairing & Serving,Seasonal,Medium,199,ผสมไวน์กับอาหารทะเล,High,70,P1,Not started,,Lifestyle content Season: Summer.
wine-now,หมูกระทะ x ไวน์: 6 ขวดที่เข้ากันสุดๆ สำหรับงานปาร์ตี้ฤดูร้อน | Moo Kata x Wine: 6 Bottles That Match This Summer BBQ,Blog,wine pairing BBQ,"wine pairing BBQ, Korean BBQ wine, meat pairing wine, grilled meat wine",Commercial,Enthusiast,Pairing & Serving,Seasonal,Medium,199,ผสมไวน์กับ BBQ,High,70,P1,Not started,,Lifestyle content Season: Summer.
wine-now,"ไวน์ราคาไม่เกิน 1,000 บาท: Premium ไม่ได้แปลว่าแพงเสมอไป | ไวน์ Recommendation Under 1000 Baht: Premium Doesn't Mean Expensive",Blog,mid-range wine,"wine 500-1000 baht, quality affordable wine, mid-range wine Thailand",Commercial,Enthusiast,Tips & Guides,Evergreen,High,,ไวน์กลางราคา,High,80,P1,Not started,,Shopping guide
wine-now,"ไวน์ขาวสำหรับงานเลี้ยงฤดูร้อน: เลือกสไตล์ไหน เสิร์ฟกี่องศา จัดปาร์ตี้ยังไง | White Wines for a Summer Party: Styles, Temps & Hosting",Blog,white wine for summer,"white wine summer party, best white wine hot weather, serving temperature white wine, summer wine Thailand",Commercial,Explorer,Pairing & Serving,Seasonal,High,,ไวน์ขาวหน้าร้อน,High,80,P1,Published,pipeline/public/content/day3-white-wines-summer.html,Season: Summer. Strong Thai hot-climate hook. [Added: published article had no matching topic row].
wine-now,ไวน์คู่อาหารไทย: 5 คู่ที่ลงตัวจนคุณต้องลอง | Thai Street Food x Wine: 5 Pairings That Work,Blog,wine food pairing Thai,"wine pairing Thai food, wine and Thai cuisine, Pad Thai wine pairing, Thai food wine selection",Commercial,Enthusiast,Pairing & Serving,Seasonal,Medium,199,การผสมไวน์กับอาหารไทย,High,70,P1,Not started,,Lifestyle content Season: Summer.
wine-now,ท่องเที่ยวไวน์ในไทย: จุดซ่อนเร้นนอกกรุงเทพ | Wine Tourism in Thailand: Hidden Gems Beyond Bangkok,Blog,wine travel Thailand,"wine tour Thailand, wine tasting tour, wine region tour, vineyard tour Thailand",Commercial,Enthusiast,Travel & Experiences,Seasonal,High,,ทัศนศึกษาไวน์,High,80,P1,Not started,,Travel content Season: Nov-Feb.
wine-now,ไวน์ราคาไม่เกิน 500 บาท: คุณภาพดีในงบที่จับต้องได้ | Wine Recommendations Under 500 Baht: Quality on a Budget,Blog,affordable wine,"cheap wine, budget wine, wine under 500 baht, affordable quality wine",Commercial,Explorer,Tips & Guides,Evergreen,High,,ไวน์ราคาถูกคุณภาพดี,High,80,P1,Not started,,Budget guide
wine-now,Napa Valley 2023: วินเทจที่นักสะสมต้องจับตา | Napa 2023: A Vintage for the Ages,Blog,Napa Valley 2023 vintage,"Napa Valley wine, California wine 2023, Napa vintage 2023, Cabernet Sauvignon Napa",Informational,Enthusiast,Spotlights,Seasonal,Medium,246,นาปา 2023,High,60,P2,Not started,,Vintage assessment Season: Fall/Winter.
wine-now,อ่านฉลากไวน์: Old World vs New World ต่างกันยังไง | Wine Labels Decoded: What Every Symbol Means,Blog,wine label terms,"wine label meaning, wine label terms, wine classification, appellation, vintage year",Informational,Explorer,Education,Evergreen,High,,ข้อมูลบนเลเบลไวน์,High,70,P1,Published,pipeline/public/content/day1-wine-label-old-world-vs-new-world.html,Practical guide Article covers Old World vs New World label reading.
wine-now,Prosecco vs Champagne: ทางเลือกที่คุ้มค่ากว่า อธิบายอย่างชัดเจน | Prosecco vs Champagne: The Budget-Friendly Alternative Explained,Blog,prosecco vs champagne,"Prosecco, Italian sparkling wine, cheap champagne, prosecco wine",Commercial,Explorer,Education,Seasonal,Low,68,โปรเสคโกต่อแชมเปญ,Medium,50,P3,Not started,,Comparison guide Season: Holidays.
wine-now,ไวน์แดง vs ไวน์ขาว: ความแตกต่างและวิธีเลือกให้ถูกโอกาส | Red vs White: What Makes Them Different,Blog,red wine vs white wine,"red wine vs white wine, wine color differences, when to drink red wine, when to drink white wine",Informational,Explorer,Education,Evergreen,High,,ไวน์แดงกับไวน์ขาว,High,70,P1,Not started,,Core educational content
wine-now,Pauillac ถึง Saint-Émilion: ข้อมูลใน Private Tasting Tour | Pauillac to Saint-Emilion: Private Tasting Tour Insights,Blog,Bordeaux wine tasting,"Bordeaux tasting experience, Pauillac wine, Margaux wine, Bordeaux wine tour",Commercial,Collector,Travel & Experiences,Seasonal,Medium,475,ทัศนศึกษา Bordeaux,High,70,P1,Not started,,Travel content Season: Fall/Winter.
wine-now,ไวน์โรเซ่: ไม่ใช่แค่เครื่องดื่มฤดูร้อนอีกต่อไป | Rosé Wine: More Than Just a Summer Drink,Blog,rose wine,"Rosé wine, summer wine, light wine, refreshing wine, Provence wine",Commercial,Explorer,Pairing & Serving,Seasonal,Low,68,ไวน์โรเซ,Medium,50,P3,Not started,,Seasonal content Season: Summer.
wine-now,ชีสบอร์ด x ไวน์ 2026: กฎที่ใช้ได้จริง | Cheese Board x Wine 2026: The Rules That Actually Work,Blog,wine cheese pairing,"wine cheese pairing, cheese and wine combination, best wine cheese pairings, French wine cheese",Commercial,Enthusiast,Pairing & Serving,Seasonal,Medium,199,ผสมไวน์กับชีส,Medium,60,P2,Not started,,Lifestyle content Season: Holidays.
wine-now,Sauvignon Blanc vs Chardonnay: ไวน์ขาวแบบไหนที่ใช่สำหรับคุณ | Sauvignon Blanc vs Chardonnay: Which White Wine Is Right for You,Blog,white wine comparison,"Sauvignon Blanc, Chardonnay, white wine differences, wine comparison",Commercial,Explorer,Education,Evergreen,High,,ไวน์ขาวเปรียบเทียบ,Medium,70,P1,Not started,,Educational content
